Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
COSTIOU Ewen,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,PT
HUENS Axel,3,FDJ,Groupama - FDJ,X,X,X,,,,,,,,,,,,,,,,,0,"0,0",3,"OML, KBK, SAM",Oneday,WT
LANGELLOTTI Victor,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,WT
MILAN Jonathan,7,LIDL,Lidl - Trek,,,,,,,X,,,X,,,,X,,,,,,0,"0,0",3,"MSR, IFF, PR",Sprint,WT
SKJELMOSE Mattias,7,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,WT
NYS Thibau,6,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Hills,PT
CICCONE Giulio,5,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Climber,WT
TEUTENBERG Tim Torn,3,LIDL,Lidl - Trek,X,,,,X,X,,,,,,,,,,,,,,0,"0,0",3,"OML, NOK, BKC",Sprint,WT
SUNEKÆR NORSGAARD Mathias,2,LIDL,Lidl - Trek,,X,,,,,,,X,,,,,X,,,,,,0,"0,0",3,"KBK, E3, PR",TT,WT
WIDAR Jarno,4,LOT,Lotto Intermarché,,,,X,,,,,,,,,,,,,,X,X,0,"0,0",3,"STR, WA P, LBL",Climber,WT
GIRMAY Biniam,5,NSN,NSN Cycling Team,X,X,,,,,,,,,X,,,,,,,,,0,"0,0",3,"OML, KBK, DDV",Oneday,WT
BLACKMORE Joseph,3,NSN,NSN Cycling Team,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,PT
SCHULTZ Nick,3,NSN,NSN Cycling Team,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Climber,WT
VAN GILS Maxim,6,RBBH,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Oneday,WT
EVENEPOEL Remco,12,RBBH,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",TT,PT
VAN WILDER Ilan,4,SQS,Soudal - Quick Step,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,PT
RACCAGNI NOVIERO Andrea,3,SQS,Soudal - Quick Step,,,,X,,,,,,,,,,,,,X,,X,0,"0,0",3,"STR, AGR, LBL",Hills,WT
HIRSCHI Marc,5,TUD,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Oneday,WT
KOLZE CHANGIZI Sebastian,2,TUD,Tudor Pro Cycling Team,,,,,,,,X,,X,X,,,,,,,,,0,"0,0",3,"RVB, IFF, DDV",Sprint,WT
SIVAKOV Pavel,4,UAE,UAE Team Emirates - XRG,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,WT
SCARONI Christian,5,AST,XDS Astana Team,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",Oneday,PT
BETTIOL Alberto,4,AST,XDS Astana Team,X,,,,,,X,,,,,X,,,,,,,,0,"0,0",3,"OML, MSR, RVV",Oneday,PT
ULISSI Diego,3,AST,XDS Astana Team,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,WT
THIJSSEN Gerben,4,ALP,Alpecin-Premier Tech,,,,,X,X,,,,,,,,,,,,,,0,"0,0",2,"NOK, BKC",Sprint,WT
EULÁLIO Afonso,3,BAH,Bahrain - Victorious,,,,X,,,,,,,,,,,,,,,X,0,"0,0",2,"STR, LBL",Climber,PT
VAN MECHELEN Vlad,3,BAH,Bahrain - Victorious,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Sprint,PT
ALLEGAERT Piet,3,COF,Cofidis,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Oneday,PT
GERMANI Lorenzo,3,FDJ,Groupama - FDJ,,,,X,,,X,,,,,,,,,,,,,0,"0,0",2,"STR, MSR",GC,CT
BARTHE Cyril,3,FDJ,Groupama - FDJ,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Hills,WT
GANNA Filippo,7,INE,INEOS Grenadiers,,,,,,,X,,,,,,,X,,,,,,0,"0,0",2,"MSR, PR",TT,PT
GODON Dorian,4,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,X,X,,0,"0,0",2,"AGR, WA P",Hills,PT
AYUSO Juan,7,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,X,X,0,"0,0",2,"WA P, LBL",Climber,WT
SIMMONS Quinn,4,LIDL,Lidl - Trek,,,,X,,,,,,,,,,,,,X,,,0,"0,0",2,"STR, AGR",Hills,PT
SÖDERQVIST Jakob,3,LIDL,Lidl - Trek,X,,,,,,,,,,,,,X,,,,,,0,"0,0",2,"OML, PR",TT,WT
THEUNS Edward,3,LIDL,Lidl - Trek,X,X,,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, KBK",Oneday,WT
MOLLEMA Bauke,3,LIDL,Lidl - Trek,,,,X,,,,,,,,,,,,,X,,,0,"0,0",2,"STR, AGR",Climber,WT
ZIMMERMANN Georg,3,LOT,Lotto Intermarché,,,,X,,,X,,,,,,,,,,,,,0,"0,0",2,"STR, MSR",Oneday,WT
VAN BOVEN Luca,3,LOT,Lotto Intermarché,X,,,,,,,,,,,,,,,,X,,,0,"0,0",2,"OML, AGR",Hills,PT
AERTS Toon,3,LOT,Lotto Intermarché,,,,,,,,,,,,X,,X,,,,,,0,"0,0",2,"RVV, PR",GC,WT
BEULLENS Cedric,3,LOT,Lotto Intermarché,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Oneday,WT
DE BUYST Jasper,2,LOT,Lotto Intermarché,,X,X,,,,,,,,,,,,,,,,,0,"0,0",2,"KBK, SAM",Oneday,PT
GRIGNARD Sébastien,2,LOT,Lotto Intermarché,X,X,,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, KBK",Oneday,PT
VAN SINTMAARTENSDIJK Roel,2,LOT,Lotto Intermarché,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",GC,PT
UIJTDEBROEKS Cian,5,MOV,Movistar Team,,,,,,,,,,,,,,,,,,X,X,0,"0,0",2,"WA P, LBL",GC,WT
GARCÍA CORTINA Iván,4,MOV,Movistar Team,X,,,,,,,,,,,,,X,,,,,,0,"0,0",2,"OML, PR",Oneday,PT
SHEEHAN Riley,3,NSN,NSN Cycling Team,X,,,,,,,,,,,X,,,,,,,,0,"0,0",2,"OML, RVV",Oneday,WT
LOUVEL Matis,3,NSN,NSN Cycling Team,X,,,,,,,,,,,,,X,,,,,,0,"0,0",2,"OML, PR",Oneday,WT
VAN ASBROECK Tom,3,NSN,NSN Cycling Team,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Oneday,PT
VAN MOER Brent,3,Q36.5,Pinarello Q36.5 Pro Cycling Team,X,,,,,,,,,,X,,,,,,,,,0,"0,0",2,"OML, DDV",Oneday,PT
MARTÍNEZ Daniel Felipe,4,RBBH,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,X,X,0,"0,0",2,"WA P, LBL",GC,PT
ETXEBERRIA Haimar,3,RBBH,Red Bull - BORA - hansgrohe,,X,X,,,,,,,,,,,,,,,,,0,"0,0",2,"KBK, SAM",Oneday,WT
DRIZNERS Jarrad,2,RBBH,Red Bull - BORA - hansgrohe,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",GC,PT
LAMBRECHT Michiel,2,FLB,Team Flanders - Baloise,X,,X,,,,,,,,,,,,,,,,,0,"0,0",2,"OML, SAM",Sprint,WT
